"","Date","Day","HighTemp","LowTemp","Precipitation","WilliamsburgBridge","Total"
"1",42917,42917,84.9,72,0.23,3845,11867
"2",42918,42918,87.1,73,0,4173,13995
"3",42919,42919,87.1,71.1,0.45,4924,16067
"4",42920,42920,82.9,70,0,3684,13925
"5",42921,42921,84.9,71.1,0,7308,23110
"6",42922,42922,75,71.1,0,7302,21861
"7",42923,42923,79,68,1.78,4421,12805
"8",42924,42924,82.9,70,0,5781,17258
"9",42925,42925,81,69.1,0,5782,18320
"10",42926,42926,82.9,71.1,0,8106,24827
"11",42927,42927,84,75,0,7249,21743
"12",42928,42928,87.1,77,0,7102,21174
"13",42929,42929,89.1,77,0,6116,18290
"14",42930,42930,69.1,64.9,0.35,2974,8210
"15",42931,42931,82.9,68,0,5631,17259
"16",42932,42932,84.9,70,0,5370,17539
"17",42933,42933,84.9,73.9,0,7789,23837
"18",42934,42934,87.1,75.9,0,8268,25038
"19",42935,42935,91,77,0,7776,22847
"20",42936,42936,93,78.1,0.01,6781,20405
"21",42937,42937,91,77,0,6548,19773
"22",42938,42938,91,78.1,0.57,4535,14422
"23",42939,42939,78.1,73,0.06,4096,13297
"24",42940,42940,69.1,63,0.74,3867,11862
"25",42941,42941,71.1,64,0,7496,23586
"26",42942,42942,75.9,66,0,8605,26969
"27",42943,42943,77,66.9,0,7221,23129
"28",42944,42944,84.9,73,0,6987,21741
"29",42945,42945,75.9,68,0,5242,14814
"30",42946,42946,81,64.9,0,5759,18696
"31",42947,42947,88,66.9,0,7546,24284
