WineType,Months,CI_abs,PctYellow,PctRed,PctBlue,PctdA,Tint,L_star,C_star,h_star,a_star,b_star,GLU,AC,CIN,PYRUVILICS,VINYLICS,FLAVANOLS,FLAVONOLS,CINNAMICS,BENZOICS
1,1.5,0.54,39.63,47.3,13.08,44.28,0.84,70.85,26.76,8.42,26.47,3.92,294.03,25,41.41,3.54,0.85,40.4,10.16,0.73,20.54
1,3,0.53,40.11,47.6,12.29,44.95,0.84,71.3,27.39,9.3,27.03,4.43,291.16,24.82,39.52,3.44,0.84,36.43,11.2,1.06,20.54
1,7,0.59,41.14,45.87,13,40.98,0.9,69.13,27.74,14.71,26.84,7.05,241.71,18.05,31.77,3.09,0.85,28.98,10.08,1.46,20.46
1,9,0.61,42.41,43.55,14.03,35.19,0.97,68.9,25.68,19.17,24.26,8.43,200.8,18.94,28.93,2.51,0.85,26.03,10.02,1.56,19.69
1,12,0.58,43.12,43.17,13.71,34.18,1,70.15,25.03,22.18,23.18,9.45,195.78,17.05,26.49,2.31,0.9,23.78,8.29,1.59,17.94
1,19.5,0.65,43.53,42.53,13.91,32.43,1.02,67.6,26.69,25.09,24.16,11.32,172.14,12.33,23.31,1.98,0.99,25.54,8.99,2.07,16.47
1,26,0.63,43.68,42.62,13.7,32.69,1.02,68.75,26.12,24.85,23.7,10.98,121.42,11.87,17.91,1.79,0.96,26.08,9.63,2.63,16.89
2,1.5,1.13,31.19,59.29,9.52,65.67,0.53,50.03,56.44,3.69,56.32,3.63,252.16,28.76,38.19,3.77,0.49,99.44,19.97,0.51,25.03
2,3,1.12,31.48,58.92,9.6,65.14,0.53,49.83,56.78,3.31,56.68,3.29,239.04,26.19,35.99,3.31,0.49,88.03,20.53,0.88,25.77
2,7,1.1,32.92,56.6,10.48,61.66,0.58,50.15,53.98,4.35,53.82,4.1,201.22,18.8,25.21,2.79,0.49,81.45,18.99,1.18,26.1
2,9,1.07,34.64,53.52,11.84,56.57,0.65,50.35,49.71,5.01,49.55,4.35,132.09,14.43,18.47,2.23,0.48,63.16,19.15,1.04,24.98
2,12,1.03,35.3,52.7,11.99,55.13,0.67,51.6,47.92,4.99,47.64,4.17,118.88,12.64,15.43,2.17,0.49,61.13,18.2,0.81,23.99
2,19.5,1.03,36.55,51.04,12.41,52.04,0.72,52,45.74,8.06,45.29,6.41,87.29,8.04,9.73,2.36,0.45,59.89,19.2,1.06,27
2,26,0.96,37.44,50.27,12.29,50.54,0.74,54.28,43.71,8.54,43.23,6.49,56.65,5.01,6.23,2.55,0.39,59.57,18.58,0.79,26.59
3,1.5,1.06,32.23,57.15,10.62,62.52,0.56,51.4,52.38,4.04,52.25,3.69,201.25,115.91,22.69,9.82,0.42,87.76,16.82,0.43,21.26
3,3,1.01,32.37,57.36,10.27,62.83,0.56,52.78,52.52,3.35,52.43,3.23,183.97,106.7,21.16,8.69,0.42,73.18,15.14,0.91,19.95
3,7,1.01,33.64,55.43,10.93,59.79,0.61,52.9,50.55,5.1,50.34,4.5,126.69,74.83,13.99,4.89,0.42,53.51,16.4,1.29,20.07
3,9,1.07,34.82,53.25,11.93,56.1,0.65,51.1,48.64,7.48,48.23,6.33,102.78,60.25,12.22,4.85,0.49,46.9,13.58,1.32,19.39
3,12,1.08,35.52,52.39,12.09,54.57,0.68,50.85,48.27,8.7,47.71,7.3,93.85,50.55,9.36,5.29,0.58,44.73,13.55,1,19.66
3,19.5,1.08,36.54,51.21,12.25,52.37,0.71,51.3,46.75,11.63,45.79,9.42,70.76,32.59,6.2,5.07,0.57,43.93,15.4,1.34,23.44
3,26,0.96,37.91,49.59,12.51,49.16,0.76,55.35,42.36,13.13,41.26,9.62,48.64,20.2,4.09,5.09,0.5,42.51,16.53,1.29,23.66
